wall_time_s,wall_bj,q0,q1,q2,qd0,qd1,qd2,tau_meas0,tau_meas1,tau_meas2,tau_cmd0,tau_cmd1,tau_cmd2,q_des0,q_des1,q_des2,pwm0,pwm1,pwm2,pwm3,pwm4,pwm5,control_mode,roll,pitch,yaw,gyro0,gyro1,gyro2,acc0,acc1,acc2,rm_q0,rm_q1,rm_q2,rm_iq0,rm_iq1,rm_iq2,wheel_en,wheel_w0,wheel_w1,wheel_w2
1787513160.0023217,2026-08-24 03:26:00.002,0.620620608329773,0.5534809827804565,0.7449816465377808,0.1868133544921875,-0.07692337036132812,-0.2967033386230469,0.0024423599243164062,-0.0024423599243164062,0.0024423599243164062,-0.6245509386062622,0.215366393327713,-1.0275757312774658,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.03850245475769043,-0.0035046746488660574,3.095578193664551,0.0013464867370203137,-4.302534944145009e-05,4.695316238212399e-05,0.11319293826818466,-0.2897484302520752,-9.815366744995117,-6.391853094100952e-05,2.130866050720215e-05,6.39110803604126e-05,-0.008999999612569809,-0.04500000178813934,0.004000000189989805,0,0.0,0.0,0.0
1787513160.007489,2026-08-24 03:26:00.007,0.6202391386032104,0.553862452507019,0.7449816465377808,-0.14285659790039062,0.120880126953125,-0.07692337036132812,-0.0024423599243164062,0.0073261260986328125,-0.0024423599243164062,-0.6275814771652222,0.21543605625629425,-1.0257059335708618,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.03850188106298447,-0.003504707245156169,3.0955708026885986,0.0012229206040501595,0.00038888410199433565,-0.0005221089813858271,0.09062261134386063,-0.28550317883491516,-9.791352272033691,-2.130866050720215e-05,2.130866050720215e-05,6.39110803604126e-05,-0.01600000075995922,0.00800000037997961,0.035999998450279236,0,0.0,0.0,0.0
1787513160.0123386,2026-08-24 03:26:00.012,0.6202391386032104,0.553862452507019,0.7453631162643433,0.120880126953125,-0.03296661376953125,0.25274658203125,-0.0024423599243164062,0.0073261260986328125,-0.0024423599243164062,-0.6151223182678223,0.215007022023201,-1.0162521600723267,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.038498710840940475,-0.0035053149331361055,3.0955519676208496,0.0005614930996671319,-0.00022205051209311932,0.0008307499228976667,0.0775802880525589,-0.3060709536075592,-9.807944297790527,-2.130866050720215e-05,2.130866050720215e-05,6.39110803604126e-05,-0.01600000075995922,0.00800000037997961,0.035999998450279236,0,0.0,0.0,0.0
1787513160.0174844,2026-08-24 03:26:00.017,0.620620608329773,0.5534809827804565,0.7449816465377808,0.25274658203125,-0.2967033386230469,-0.25274658203125,-0.0024423599243164062,-0.017093658447265625,0.0024423599243164062,-0.6085423827171326,0.2027931660413742,-1.0182825326919556,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.038490522652864456,-0.003503228770568967,3.0955395698547363,-1.9308213268232066e-06,0.0007046053069643676,-0.00036507839104160666,0.09622003138065338,-0.2886776030063629,-9.793265342712402,0.0,0.0,4.260987043380737e-05,-0.0010000000474974513,0.03700000047683716,-0.027000000700354576,0,0.0,0.0,0.0
1787513160.0225155,2026-08-24 03:26:00.022,0.620620608329773,0.553862452507019,0.7449816465377808,-0.03296661376953125,-0.14285659790039062,-0.0549468994140625,-0.0024423599243164062,0.017093658447265625,-0.0024423599243164062,-0.611439049243927,0.20480866730213165,-1.0256311893463135,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.03848711773753166,-0.0035002001095563173,3.0955328941345215,0.0013815474230796099,0.0015422282740473747,0.0003200928040314466,0.11472222954034805,-0.2848632335662842,-9.8041353225708,0.0,0.0,4.260987043380737e-05,-0.0010000000474974513,0.03700000047683716,-0.027000000700354576,0,0.0,0.0,0.0
1787513160.0271385,2026-08-24 03:26:00.027,0.6202391386032104,0.553862452507019,0.7449816465377808,-0.120880126953125,-0.07692337036132812,-0.09889984130859375,-0.0024423599243164062,0.0073261260986328125,-0.0024423599243164062,-0.611439049243927,0.20480866730213165,-1.0256311893463135,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.038486041128635406,-0.003497085999697447,3.095521926879883,0.001157877966761589,-0.0006885985494591296,0.0006503509357571602,0.08254104852676392,-0.30108484625816345,-9.808337211608887,0.0,0.0,4.260987043380737e-05,-0.0010000000474974513,0.03700000047683716,-0.027000000700354576,0,0.0,0.0,0.0
1787513160.0319204,2026-08-24 03:26:00.031,0.620620608329773,0.553862452507019,0.7449816465377808,0.09889984130859375,0.3626365661621094,0.010990142822265625,-0.0024423599243164062,-0.012209892272949219,0.0024423599243164062,-0.5988544821739197,0.19393734633922577,-1.0238945484161377,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.038486968725919724,-0.003502002451568842,3.095505475997925,0.0023028033319860697,-0.00037653418257832527,0.0004202415293548256,0.07481414079666138,-0.30413204431533813,-9.804617881774902,-2.130866050720215e-05,0.0,8.521974086761475e-05,0.02199999988079071,0.03500000014901161,-0.020999999716877937,0,0.0,0.0,0.0
1787513160.036961,2026-08-24 03:26:00.036,0.620620608329773,0.5534809827804565,0.7449816465377808,0.09889984130859375,-0.5164833068847656,-0.0549468994140625,-0.0024423599243164062,-0.017093658447265625,-0.0024423599243164062,-0.6068011522293091,0.18191051483154297,-1.0247077941894531,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.03848962485790253,-0.0035006438847631216,3.095498561859131,0.0013412557309493423,0.0005130497738718987,0.0009479288710281253,0.08975721895694733,-0.3073219954967499,-9.799691200256348,-2.130866050720215e-05,0.0,8.521974086761475e-05,0.02199999988079071,0.03500000014901161,-0.020999999716877937,0,0.0,0.0,0.0
1787513160.0443726,2026-08-24 03:26:00.044,0.6202391386032104,0.553862452507019,0.7449816465377808,0.0549468994140625,-0.0549468994140625,-0.3186798095703125,-0.0024423599243164062,-0.017093658447265625,-0.0024423599243164062,-0.6068011522293091,0.18191051483154297,-1.0247077941894531,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.038485124707221985,-0.0034999223425984383,3.0954883098602295,0.000440978939877823,0.00029054624610580504,-2.4881534045562148e-05,0.09753459692001343,-0.2913520038127899,-9.806678771972656,-4.260987043380737e-05,2.130866050720215e-05,6.39110803604126e-05,0.01600000075995922,0.017000000923871994,-0.03700000047683716,0,0.0,0.0,0.0
1787513160.0474815,2026-08-24 03:26:00.047,0.620620608329773,0.5542439222335815,0.7453631162643433,0.0549468994140625,0.4285697937011719,0.14285659790039062,-0.0024423599243164062,-0.017093658447265625,0.0024423599243164062,-0.610560417175293,0.2053876519203186,-1.0249994993209839,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0.038483619689941406,-0.003501197090372443,3.0954806804656982,0.0015682379016652703,-0.0007017020252533257,4.7161971451714635e-05,0.09018195420503616,-0.29670241475105286,-9.80732536315918,-4.260987043380737e-05,2.130866050720215e-05,6.39110803604126e-05,0.01600000075995922,0.017000000923871994,-0.03700000047683716,0,0.0,0.0,0.0
