t,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,yaw,ls_y,rs_x,rs_y,lag_rad,frozen,f_press_N,chassis,w0,w1,w2
0.1727,0.923512,-1.046046,0.968144,0.076923,0.186813,0.164837,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,0.002442,-0.017094,-0.007326,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005282,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.1828,0.923512,-1.046046,0.968144,0.186813,-0.296703,0.296703,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,0.012210,-0.031746,-0.012210,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005270,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.1929,0.923512,-1.046046,0.968144,0.076923,0.274727,-0.054947,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,0.002442,0.007326,-0.026862,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005255,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.2029,0.923512,-1.045665,0.968144,0.340660,0.318680,0.186813,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.012210,-0.017094,-0.041514,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.005242,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.2131,0.923512,-1.046046,0.968144,0.120880,0.142857,-0.054947,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.017094,0.002442,-0.021978,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005237,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.2229,0.923512,-1.046046,0.968144,-0.142857,0.208790,0.208790,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.031746,0.012210,-0.026862,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005222,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.2330,0.923512,-1.046046,0.967763,-0.142857,-0.098900,-0.252747,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,-0.017094,-0.021978,-0.026862,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.005206,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.2430,0.923512,-1.045665,0.968144,-0.186813,0.252747,-0.010990,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.007326,-0.031746,-0.012210,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.005198,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.2530,0.923512,-1.046046,0.967763,-0.010990,-0.230770,-0.318680,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,-0.021978,-0.061050,0.017094,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.005185,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.2632,0.923512,-1.046046,0.968144,-0.010990,0.032967,0.098900,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.021978,-0.026862,0.012210,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005177,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
