t,s_m,pct,plane,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,lag_rad
37.5261,2.97840,24.55,MID,1.106620,-0.191922,1.481229,0.318680,-0.010990,0.142857,1.127500,-0.218795,1.485557,0.417611,-0.537455,0.086562,-0.012210,-0.495727,0.090354,-0.327294,-0.037470,0.324970,-0.329849,-0.042819,0.320000,0.329432,0.462743,0.026873
37.5358,2.97920,24.56,MID,1.109672,-0.192304,1.481229,0.274727,0.384617,-0.054947,1.130296,-0.219599,1.485499,0.412474,-0.545905,0.085401,-0.036630,-0.510379,0.075702,-0.327207,-0.038280,0.325067,-0.329788,-0.043616,0.320000,0.329439,0.462815,0.027295
37.5461,2.98000,24.56,MID,1.112343,-0.193067,1.481229,0.318680,-0.032967,0.010990,1.133045,-0.220407,1.485415,0.414047,-0.546801,0.083723,0.007326,-0.407814,0.061050,-0.327168,-0.039014,0.325065,-0.329721,-0.044413,0.320000,0.329486,0.462848,0.027340
37.5558,2.98080,24.57,MID,1.115013,-0.193830,1.481229,0.274727,-0.208790,0.120880,1.135804,-0.221203,1.485344,0.415828,-0.547467,0.082298,0.021978,-0.481074,0.041514,-0.327128,-0.039751,0.325062,-0.329654,-0.045211,0.320000,0.329535,0.462880,0.027373
37.5660,2.98160,24.58,MID,1.117302,-0.194593,1.481229,0.120880,0.054947,-0.208790,1.138574,-0.221988,1.485285,0.425445,-0.547904,0.081127,0.065934,-0.481074,0.070818,-0.327103,-0.040389,0.325037,-0.329587,-0.046008,0.320000,0.329587,0.462900,0.027395
37.5765,2.98240,24.58,MID,1.119972,-0.195356,1.481229,0.450550,-0.076923,-0.120880,1.141307,-0.222773,1.485208,0.426706,-0.548358,0.079582,0.070818,-0.515263,0.080586,-0.327061,-0.041130,0.325032,-0.329516,-0.046805,0.320000,0.329637,0.462932,0.027418
37.5864,2.98320,24.59,MID,1.122261,-0.196118,1.481229,0.296703,-0.450550,0.098900,1.144022,-0.223555,1.485123,0.435212,-0.548740,0.077893,0.080586,-0.495727,0.070818,-0.327033,-0.041772,0.325006,-0.329442,-0.047601,0.320000,0.329690,0.462952,0.027437
37.5965,2.98400,24.60,MID,1.124550,-0.196500,1.481229,0.032967,-0.164837,0.076923,1.146746,-0.224326,1.485052,0.443925,-0.556522,0.076458,0.085470,-0.422466,0.046398,-0.326970,-0.042395,0.325056,-0.329368,-0.048398,0.320000,0.329707,0.462999,0.027826
37.6066,2.98480,24.60,MID,1.126839,-0.197263,1.481229,0.450550,-0.252747,-0.076923,1.149481,-0.225085,1.484993,0.452843,-0.556447,0.075279,0.119658,-0.432235,0.065934,-0.326941,-0.043040,0.325029,-0.329295,-0.049194,0.320000,0.329762,0.463019,0.027822
37.6167,2.98560,24.61,MID,1.129127,-0.198026,1.481229,0.098900,0.120880,0.274727,1.152151,-0.225853,1.484896,0.460477,-0.556536,0.073347,0.134310,-0.564102,0.085470,-0.326911,-0.043686,0.325001,-0.329214,-0.049990,0.320000,0.329817,0.463038,0.027827
37.6270,2.98640,24.62,MID,1.131035,-0.198407,1.481229,0.516483,-0.032967,0.274727,1.154830,-0.226609,1.484811,0.475909,-0.564035,0.071645,0.129426,-0.481074,0.046398,-0.326861,-0.044212,0.325029,-0.329133,-0.050786,0.320000,0.329838,0.463073,0.028202
37.6366,2.98720,24.62,MID,1.133324,-0.199170,1.481229,0.142857,-0.142857,-0.186813,1.157519,-0.227354,1.484739,0.483917,-0.563678,0.070200,0.105006,-0.505494,0.061050,-0.326829,-0.044862,0.325000,-0.329052,-0.051582,0.320000,0.329894,0.463093,0.028184
37.6463,2.98800,24.63,MID,1.135994,-0.199933,1.481229,0.120880,-0.120880,0.010990,1.160193,-0.228095,1.484662,0.483983,-0.563229,0.068660,0.100122,-0.476191,0.051282,-0.326779,-0.045615,0.324991,-0.328969,-0.052378,0.320000,0.329947,0.463125,0.028161
37.6564,2.98880,24.64,MID,1.138664,-0.200315,1.480847,0.296703,-0.098900,-0.582417,1.162826,-0.228837,1.484563,0.483242,-0.570447,0.074319,0.105006,-0.437119,0.061050,-0.326602,-0.046486,0.325119,-0.328882,-0.053173,0.320000,0.329893,0.463176,0.028522
37.6664,2.98960,24.64,MID,1.140953,-0.200696,1.481229,0.406593,-0.054947,0.208790,1.165470,-0.229568,1.484477,0.490335,-0.577438,0.064975,0.080586,-0.451771,0.105006,-0.326622,-0.046984,0.325106,-0.328794,-0.053968,0.320000,0.329984,0.463231,0.028872
37.6767,2.99040,24.65,MID,1.143623,-0.201459,1.481229,0.318680,0.164837,-0.010990,1.168123,-0.230288,1.484405,0.490004,-0.576574,0.063518,0.070818,-0.481074,0.041514,-0.326568,-0.047743,0.325095,-0.328706,-0.054763,0.320000,0.330039,0.463263,0.028829
37.6868,2.99120,24.66,MID,1.146675,-0.201841,1.481229,0.604397,-0.098900,0.120880,1.170734,-0.231010,1.484308,0.481176,-0.583391,0.061589,0.080586,-0.515263,0.075702,-0.326459,-0.048587,0.325182,-0.328613,-0.055558,0.320000,0.330055,0.463335,0.029170
37.6969,2.99200,24.66,MID,1.149727,-0.202603,1.481229,0.582417,-0.010990,0.076923,1.173331,-0.231727,1.484209,0.472092,-0.582473,0.059602,0.046398,-0.520146,0.021978,-0.326384,-0.049455,0.325190,-0.328519,-0.056352,0.320000,0.330109,0.463379,0.029124
37.7068,2.99280,24.67,MID,1.153160,-0.202985,1.480847,0.648350,-0.054947,-0.296703,1.175939,-0.232433,1.484122,0.455583,-0.588958,0.065503,0.041514,-0.456655,0.036630,-0.326161,-0.050548,0.325354,-0.328424,-0.057147,0.320000,0.330055,0.463456,0.029448
37.7171,2.99360,24.68,MID,1.155830,-0.203367,1.480847,0.384617,0.098900,-0.208790,1.178556,-0.233128,1.484048,0.454517,-0.595204,0.064020,0.007326,-0.559218,0.041514,-0.326066,-0.051298,0.325417,-0.328329,-0.057941,0.320000,0.330076,0.463515,0.029760
37.7272,2.99440,24.68,MID,1.158882,-0.204130,1.481229,0.208790,-0.318680,0.142857,1.181168,-0.233815,1.483976,0.445712,-0.593697,0.054954,0.012210,-0.495727,0.046398,-0.326076,-0.052036,0.325363,-0.328233,-0.058735,0.320000,0.330202,0.463567,0.029685
37.7363,2.99520,24.69,MID,1.162315,-0.204512,1.481229,0.362637,0.010990,-0.054947,1.183789,-0.234491,1.483918,0.429482,-0.599594,0.053777,-0.031746,-0.505494,0.046398,-0.325939,-0.053002,0.325466,-0.328137,-0.059529,0.320000,0.330220,0.463652,0.029980
37.7464,2.99600,24.70,MID,1.165748,-0.204893,1.481229,0.120880,0.098900,0.142857,1.186421,-0.235157,1.483872,0.413454,-0.605267,0.052862,-0.080586,-0.554335,0.056166,-0.325799,-0.053971,0.325566,-0.328041,-0.060324,0.320000,0.330239,0.463736,0.030263
37.7565,2.99680,24.70,MID,1.168419,-0.205656,1.481229,0.252747,-0.142857,0.098900,1.189031,-0.235819,1.483817,0.412251,-0.603251,0.051773,-0.046398,-0.505494,0.061050,-0.325730,-0.054752,0.325549,-0.327942,-0.061117,0.320000,0.330300,0.463767,0.030163
37.7666,2.99760,24.71,MID,1.171471,-0.206419,1.480847,0.164837,-0.054947,0.054947,1.191607,-0.236481,1.483745,0.402724,-0.601243,0.057956,0.002442,-0.437119,0.056166,-0.325548,-0.055783,0.325607,-0.327838,-0.061911,0.320000,0.330293,0.463803,0.030062
37.7767,2.99840,24.72,MID,1.174523,-0.206801,1.480847,0.076923,0.142857,0.076923,1.194192,-0.237133,1.483686,0.393382,-0.606641,0.056771,0.007326,-0.505494,0.046398,-0.325421,-0.056657,0.325685,-0.327735,-0.062704,0.320000,0.330317,0.463875,0.030332
37.7868,2.99920,24.72,MID,1.177575,-0.207564,1.480847,0.032967,0.186813,-0.274727,1.196788,-0.237773,1.483640,0.384260,-0.604186,0.055850,-0.031746,-0.451771,0.051282,-0.325327,-0.057554,0.325684,-0.327632,-0.063497,0.320000,0.330379,0.463918,0.030209
37.7971,3.00000,24.73,MID,1.179864,-0.207945,1.480847,-0.032967,0.186813,-0.318680,1.199335,-0.238417,1.483566,0.389418,-0.609442,0.054377,-0.002442,-0.525030,0.041514,-0.325238,-0.058219,0.325721,-0.327524,-0.064290,0.320000,0.330407,0.463965,0.030472
37.8078,3.00080,24.74,MID,1.182916,-0.208708,1.481229,0.428570,0.010990,0.032967,1.201874,-0.239055,1.483493,0.379166,-0.606936,0.045290,-0.007326,-0.568987,-0.012210,-0.325233,-0.058980,0.325662,-0.327413,-0.065082,0.320000,0.330538,0.464016,0.030347
37.8174,3.00160,24.74,MID,1.185204,-0.209471,1.480847,0.164837,-0.076923,-0.010990,1.204423,-0.239681,1.483434,0.384376,-0.604208,0.051725,0.061050,-0.505494,0.021978,-0.325082,-0.059811,0.325676,-0.327303,-0.065875,0.320000,0.330539,0.464026,0.030210
37.8273,3.00240,24.75,MID,1.187493,-0.209852,1.480847,0.010990,-0.054947,-0.032967,1.206973,-0.240299,1.483381,0.389601,-0.608935,0.050667,0.095238,-0.525030,0.036630,-0.324989,-0.060482,0.325711,-0.327192,-0.066667,0.320000,0.330569,0.464073,0.030447
37.8373,3.00320,24.76,MID,1.189782,-0.210234,1.480847,-0.274727,0.450550,-0.186813,1.209466,-0.240923,1.483294,0.393677,-0.613785,0.048935,0.090354,-0.520146,0.065934,-0.324894,-0.061156,0.325746,-0.327075,-0.067458,0.320000,0.330600,0.464120,0.030689
37.8476,3.00400,24.76,MID,1.192071,-0.210997,1.480847,0.010990,0.164837,-0.142857,1.211969,-0.241536,1.483221,0.397957,-0.610784,0.047466,0.080586,-0.564102,0.046398,-0.324833,-0.061850,0.325702,-0.326958,-0.068250,0.320000,0.330669,0.464138,0.030539
37.8572,3.00480,24.77,MID,1.193978,-0.212141,1.480847,0.076923,-0.384617,-0.186813,1.214482,-0.242138,1.483160,0.410068,-0.599932,0.046262,0.090354,-0.529915,0.026862,-0.324827,-0.062457,0.325560,-0.326841,-0.069041,0.320000,0.330777,0.464115,0.029997
37.8680,3.00560,24.78,MID,1.196267,-0.212904,1.480466,0.428570,-0.384617,-0.494507,1.216968,-0.242738,1.483088,0.414026,-0.596674,0.052447,0.105006,-0.481074,0.021978,-0.324669,-0.063298,0.325569,-0.326721,-0.069832,0.320000,0.330782,0.464125,0.029834
37.8774,3.00640,24.78,MID,1.198556,-0.214049,1.480847,0.538460,-0.362637,-0.208790,1.219425,-0.243337,1.483001,0.417375,-0.585772,0.043071,0.114774,-0.490843,0.017094,-0.324733,-0.063875,0.325389,-0.326597,-0.070622,0.320000,0.330956,0.464123,0.029289
37.8876,3.00720,24.79,MID,1.200845,-0.214811,1.480847,0.362637,-0.076923,-0.208790,1.221891,-0.243925,1.482927,0.420927,-0.582278,0.041589,0.100122,-0.407814,0.031746,-0.324667,-0.064577,0.325342,-0.326473,-0.071413,0.320000,0.331027,0.464141,0.029114
37.8978,3.00800,24.80,MID,1.202371,-0.215574,1.480466,0.318680,0.384617,-0.384617,1.224367,-0.244503,1.482866,0.439939,-0.578564,0.048004,0.139194,-0.417583,0.031746,-0.324550,-0.065203,0.325313,-0.326349,-0.072203,0.320000,0.331035,0.464126,0.028928
37.9076,3.00880,24.80,MID,1.204659,-0.216337,1.480847,0.362637,0.164837,-0.098900,1.226791,-0.245085,1.482774,0.442633,-0.574950,0.038541,0.139194,-0.461538,0.031746,-0.324577,-0.065765,0.325210,-0.326220,-0.072993,0.320000,0.331172,0.464151,0.028748
37.9176,3.00960,24.81,MID,1.206567,-0.217100,1.480847,0.010990,0.142857,0.120880,1.229211,-0.245660,1.482686,0.452883,-0.571186,0.036778,0.114774,-0.427350,0.075702,-0.324530,-0.066361,0.325143,-0.326089,-0.073782,0.320000,0.331245,0.464157,0.028559
37.9280,3.01040,24.82,MID,1.209237,-0.218245,1.480466,0.406593,-0.010990,-0.186813,1.231641,-0.246223,1.482611,0.448077,-0.559573,0.042911,0.100122,-0.456655,0.007326,-0.324375,-0.067346,0.325086,-0.325958,-0.074571,0.320000,0.331292,0.464151,0.027979
37.9378,3.01120,24.82,MID,1.211144,-0.219008,1.480466,0.076923,-0.142857,-0.098900,1.234068,-0.246779,1.482541,0.458475,-0.555435,0.041503,0.090354,-0.500610,0.031746,-0.324326,-0.067945,0.325018,-0.325826,-0.075360,0.320000,0.331367,0.464156,0.027772
37.9480,3.01200,24.83,MID,1.213433,-0.219771,1.480466,-0.076923,-0.340660,-0.032967,1.236441,-0.247341,1.482439,0.460164,-0.551401,0.039457,0.085470,-0.451771,0.065934,-0.324252,-0.068659,0.324967,-0.325688,-0.076148,0.320000,0.331441,0.464173,0.027570
37.9580,3.01280,24.83,MID,1.215722,-0.220533,1.480466,0.472527,-0.120880,-0.208790,1.238825,-0.247891,1.482350,0.462058,-0.547148,0.037677,0.114774,-0.476191,0.026862,-0.324177,-0.069375,0.324915,-0.325550,-0.076936,0.320000,0.331517,0.464191,0.027357
37.9680,3.01360,24.84,MID,1.218011,-0.221678,1.480466,0.054947,-0.098900,-0.208790,1.241218,-0.248430,1.482274,0.464154,-0.535047,0.036167,0.139194,-0.402930,0.041514,-0.324134,-0.070111,0.324783,-0.325412,-0.077724,0.320000,0.331630,0.464180,0.026752
37.9781,3.01440,24.85,MID,1.221063,-0.222441,1.480466,0.274727,0.230770,0.230770,1.243583,-0.248969,1.482184,0.450406,-0.530555,0.034367,0.119658,-0.446886,0.056166,-0.324007,-0.071059,0.324765,-0.325271,-0.078512,0.320000,0.331707,0.464222,0.026528
37.9881,3.01520,24.85,MID,1.223733,-0.223585,1.480084,0.032967,-0.362637,-0.120880,1.245920,-0.249505,1.482081,0.443740,-0.518404,0.039930,0.070818,-0.412699,0.036630,-0.323840,-0.072061,0.324701,-0.325126,-0.079298,0.320000,0.331761,0.464215,0.025920
37.9983,3.01600,24.86,MID,1.226022,-0.224348,1.480466,0.384617,0.142857,-0.164837,1.248267,-0.250031,1.481991,0.444909,-0.513665,0.030504,0.065934,-0.427350,0.002442,-0.323854,-0.072640,0.324593,-0.324982,-0.080085,0.320000,0.331901,0.464240,0.025683
38.0081,3.01680,24.87,MID,1.229073,-0.226256,1.480466,0.362637,-0.274727,0.164837,1.250624,-0.250546,1.481915,0.431021,-0.485819,0.028977,0.017094,-0.398046,0.036630,-0.323823,-0.073655,0.324333,-0.324837,-0.080872,0.320000,0.332094,0.464196,0.024291
38.0182,3.01760,24.87,MID,1.232125,-0.227781,1.480466,0.186813,-0.164837,0.120880,1.252926,-0.251067,1.481805,0.416020,-0.465715,0.026781,0.002442,-0.329670,0.036630,-0.323754,-0.074654,0.324151,-0.324687,-0.081658,0.320000,0.332250,0.464181,0.023286
38.0284,3.01840,24.88,MID,1.235178,-0.228926,1.480084,0.120880,0.230770,0.076923,1.255227,-0.251580,1.481700,0.400984,-0.453079,0.032324,-0.021978,-0.334555,0.026862,-0.323552,-0.075787,0.324098,-0.324535,-0.082443,0.320000,0.332309,0.464186,0.022654
38.0385,3.01920,24.89,MID,1.237848,-0.230070,1.480084,0.516483,-0.120880,0.208790,1.257538,-0.252082,1.481610,0.393799,-0.440226,0.030508,-0.002442,-0.280830,0.002442,-0.323470,-0.076659,0.323976,-0.324383,-0.083229,0.320000,0.332429,0.464187,0.022011
38.0484,3.02000,24.89,MID,1.240900,-0.231596,1.480084,0.472527,-0.428570,0.098900,1.259844,-0.252576,1.481522,0.378887,-0.419602,0.028746,-0.026862,-0.329670,-0.002442,-0.323393,-0.077670,0.323789,-0.324231,-0.084014,0.320000,0.332589,0.464171,0.020980
38.0585,3.02080,24.90,MID,1.243952,-0.233122,1.480466,0.296703,-0.098900,0.230770,1.262099,-0.253076,1.481403,0.362943,-0.399071,0.018738,-0.041514,-0.231990,-0.031746,-0.323411,-0.078536,0.323550,-0.324072,-0.084798,0.320000,0.332810,0.464163,0.019954
38.0689,3.02160,24.91,MID,1.246240,-0.234266,1.480084,0.362637,-0.384617,0.076923,1.264364,-0.253564,1.481297,0.362464,-0.385952,0.024258,-0.046398,-0.339438,0.007326,-0.323252,-0.079448,0.323458,-0.323914,-0.085582,0.320000,0.332872,0.464143,0.019298
38.0788,3.02240,24.91,MID,1.249292,-0.235411,1.479703,0.362637,-0.120880,0.032967,1.266639,-0.254042,1.481205,0.346931,-0.372616,0.030051,-0.031746,-0.300366,0.026862,-0.323035,-0.080601,0.323396,-0.323755,-0.086366,0.320000,0.332938,0.464147,0.018631
38.0890,3.02320,24.92,MID,1.251581,-0.236174,1.479703,-0.098900,-0.362637,-0.208790,1.268915,-0.254511,1.481121,0.346678,-0.366740,0.028356,-0.041514,-0.319902,0.002442,-0.322935,-0.081353,0.323331,-0.323596,-0.087150,0.320000,0.333024,0.464164,0.018337
38.0990,3.02400,24.93,MID,1.254251,-0.237318,1.479703,0.296703,-0.164837,-0.274727,1.271193,-0.254971,1.481044,0.338841,-0.353058,0.026821,-0.002442,-0.231990,0.017094,-0.322839,-0.082244,0.323201,-0.323436,-0.087934,0.320000,0.333150,0.464164,0.017653
38.1090,3.02480,24.93,MID,1.256922,-0.238463,1.479321,0.362637,-0.142857,-0.318680,1.273482,-0.255421,1.480981,0.331207,-0.339161,0.033192,0.017094,-0.236875,0.012210,-0.322642,-0.083289,0.323118,-0.323276,-0.088718,0.320000,0.333219,0.464156,0.016958
38.1193,3.02560,24.94,MID,1.258829,-0.239226,1.479321,0.340660,0.230770,-0.032967,1.275781,-0.255859,1.480932,0.339036,-0.332677,0.032210,0.026862,-0.217339,0.021978,-0.322566,-0.083928,0.323035,-0.323116,-0.089502,0.320000,0.333306,0.464160,0.016952
38.1293,3.02640,24.95,MID,1.260736,-0.239988,1.479321,0.274727,-0.076923,-0.010990,1.278023,-0.256304,1.480848,0.345730,-0.326313,0.030529,0.026862,-0.246642,0.017094,-0.322488,-0.084569,0.322951,-0.322950,-0.090285,0.320000,0.333392,0.464163,0.017286
38.1395,3.02720,24.95,MID,1.262262,-0.240751,1.479321,0.076923,-0.098900,-0.098900,1.280265,-0.256740,1.480770,0.360062,-0.319782,0.028979,0.070818,-0.173382,0.017094,-0.322438,-0.085090,0.322851,-0.322783,-0.091067,0.320000,0.333477,0.464155,0.018003
38.1499,3.02800,24.96,MID,1.264170,-0.241514,1.479321,0.054947,0.186813,-0.032967,1.282518,-0.257166,1.480707,0.366969,-0.313037,0.027707,0.144078,-0.290598,0.041514,-0.322359,-0.085734,0.322766,-0.322617,-0.091849,0.320000,0.333564,0.464159,0.018348
38.1600,3.02880,24.97,MID,1.266458,-0.242277,1.479321,0.340660,0.032967,0.032967,1.284765,-0.257585,1.480645,0.366134,-0.306155,0.026482,0.085470,-0.231990,0.036630,-0.322247,-0.086501,0.322695,-0.322448,-0.092632,0.320000,0.333655,0.464175,0.018307
38.1700,3.02960,24.97,MID,1.268366,-0.242659,1.479321,0.296703,-0.054947,0.230770,1.286962,-0.258008,1.480553,0.371917,-0.306992,0.024639,0.100122,-0.227106,0.046398,-0.322131,-0.087130,0.322689,-0.322275,-0.093412,0.320000,0.333707,0.464207,0.018596
38.1799,3.03040,24.98,MID,1.270273,-0.243040,1.479321,0.318680,-0.032967,0.384617,1.289168,-0.258421,1.480475,0.377906,-0.307615,0.023072,0.109890,-0.275947,0.085470,-0.322013,-0.087762,0.322682,-0.322101,-0.094193,0.320000,0.333759,0.464239,0.018895
38.1896,3.03120,24.99,MID,1.272180,-0.243803,1.479321,0.296703,-0.098900,0.208790,1.291385,-0.258823,1.480411,0.384099,-0.300394,0.021785,0.124542,-0.285714,-0.002442,-0.321928,-0.088413,0.322594,-0.321927,-0.094974,0.320000,0.333848,0.464243,0.019205
38.2000,3.03200,24.99,MID,1.273325,-0.244185,1.478940,-0.142857,-0.120880,-0.428570,1.293571,-0.259224,1.480330,0.404933,-0.300794,0.027798,0.139194,-0.285714,0.007326,-0.321770,-0.088953,0.322604,-0.321750,-0.095754,0.320000,0.333839,0.464243,0.020247
38.2101,3.03280,25.00,MID,1.275232,-0.244566,1.478940,0.274727,-0.098900,0.164837,1.295732,-0.259624,1.480237,0.410006,-0.301156,0.025935,0.134310,-0.285714,0.012210,-0.321649,-0.089589,0.322595,-0.321569,-0.096534,0.320000,0.333892,0.464275,0.020500
38.2203,3.03360,25.01,MID,1.277140,-0.244948,1.478940,0.252747,0.010990,0.076923,1.297904,-0.260013,1.480157,0.415285,-0.301304,0.024350,0.139194,-0.207570,0.031746,-0.321526,-0.090227,0.322585,-0.321389,-0.097313,0.320000,0.333946,0.464307,0.020764
38.2311,3.03440,25.01,MID,1.279047,-0.245329,1.478940,0.274727,0.076923,-0.274727,1.300085,-0.260391,1.480092,0.420771,-0.301239,0.023048,0.153846,-0.266178,-0.021978,-0.321403,-0.090867,0.322575,-0.321208,-0.098092,0.320000,0.334001,0.464340,0.021039
38.2410,3.03520,25.02,MID,1.280573,-0.245710,1.478940,0.076923,0.120880,0.010990,1.302211,-0.260775,1.479992,0.432765,-0.301291,0.021036,0.139194,-0.310134,-0.012210,-0.321310,-0.091384,0.322551,-0.321022,-0.098870,0.320000,0.334052,0.464360,0.021638
38.2509,3.03600,25.03,MID,1.282862,-0.246092,1.478940,0.252747,-0.274727,0.076923,1.304337,-0.261151,1.479897,0.429505,-0.301179,0.019151,0.153846,-0.305250,0.031746,-0.321152,-0.092153,0.322553,-0.320835,-0.099648,0.320000,0.334112,0.464404,0.021475
38.2621,3.03680,25.03,MID,1.284006,-0.246092,1.478558,0.076923,0.296703,-0.362637,1.306473,-0.261516,1.479817,0.449341,-0.308485,0.025177,0.207570,-0.256411,0.007326,-0.320954,-0.092682,0.322639,-0.320647,-0.100426,0.320000,0.334068,0.464433,0.022467
38.2718,3.03760,25.04,MID,1.286295,-0.246092,1.478940,0.032967,0.120880,0.296703,1.308605,-0.261875,1.479740,0.446197,-0.315651,0.016004,0.168498,-0.266178,0.002442,-0.320861,-0.093284,0.322675,-0.320459,-0.101203,0.320000,0.334146,0.464514,0.022310
38.2819,3.03840,25.05,MID,1.288584,-0.246473,1.478940,0.208790,-0.142857,-0.010990,1.310685,-0.262237,1.479631,0.442032,-0.315281,0.013815,0.144078,-0.222222,0.031746,-0.320698,-0.094060,0.322676,-0.320265,-0.101979,0.320000,0.334207,0.464558,0.022102
38.2906,3.03920,25.05,MID,1.290872,-0.246473,1.478940,0.384617,-0.054947,0.362637,1.312776,-0.262590,1.479535,0.438076,-0.322328,0.011907,0.119658,-0.305250,0.031746,-0.320499,-0.094821,0.322755,-0.320070,-0.102756,0.320000,0.334232,0.464631,0.021904
38.3006,3.04000,25.06,MID,1.292780,-0.246855,1.478940,0.296703,-0.010990,0.494507,1.314878,-0.262932,1.479454,0.441956,-0.321533,0.010284,0.114774,-0.329670,0.026862,-0.320366,-0.095475,0.322741,-0.319876,-0.103532,0.320000,0.334290,0.464663,0.022098
38.3108,3.04080,25.07,MID,1.295069,-0.246855,1.478940,0.252747,-0.120880,0.142857,1.316950,-0.263273,1.479357,0.437622,-0.328353,0.008342,0.051282,-0.324786,0.021978,-0.320164,-0.096241,0.322819,-0.319679,-0.104307,0.320000,0.334316,0.464736,0.021881
38.3208,3.04160,25.07,MID,1.297358,-0.247236,1.478940,0.186813,0.032967,0.384617,1.318996,-0.263612,1.479246,0.432747,-0.327512,0.006127,0.056166,-0.310134,0.026862,-0.319993,-0.097028,0.322816,-0.319478,-0.105081,0.320000,0.334380,0.464780,0.021637
38.3307,3.04240,25.08,MID,1.300029,-0.247236,1.478940,0.186813,0.098900,0.208790,1.321052,-0.263941,1.479150,0.420471,-0.334089,0.004195,0.051282,-0.280830,-0.012210,-0.319753,-0.097929,0.322904,-0.319277,-0.105856,0.320000,0.334413,0.464865,0.021024
38.3410,3.04320,25.09,MID,1.302318,-0.247236,1.478558,0.494507,0.054947,0.142857,1.323119,-0.264259,1.479067,0.416033,-0.340455,0.010179,0.090354,-0.319902,0.017094,-0.319441,-0.098859,0.323022,-0.319076,-0.106630,0.320000,0.334389,0.464929,0.020802
38.3511,3.04400,25.09,MID,1.304606,-0.247236,1.478558,0.252747,0.032967,0.032967,1.325132,-0.264583,1.478950,0.410521,-0.346927,0.007835,0.129426,-0.354091,0.002442,-0.319231,-0.099638,0.323096,-0.318869,-0.107403,0.320000,0.334419,0.465002,0.020526
38.3610,3.04480,25.10,MID,1.307658,-0.247618,1.478558,0.692307,0.120880,0.010990,1.327144,-0.264899,1.478838,0.389723,-0.345618,0.005592,0.002442,-0.324786,-0.021978,-0.318980,-0.100699,0.323113,-0.318662,-0.108175,0.320000,0.334497,0.465070,0.019486
38.3710,3.04560,25.11,MID,1.310328,-0.247618,1.478558,-0.076923,0.186813,0.230770,1.329167,-0.265204,1.478740,0.376765,-0.351726,0.003635,-0.017094,-0.373627,0.007326,-0.318728,-0.101616,0.323196,-0.318454,-0.108948,0.320000,0.334534,0.465155,0.018838
38.3812,3.04640,25.11,MID,1.312999,-0.247618,1.478177,0.252747,0.054947,-0.010990,1.331187,-0.265502,1.478647,0.363766,-0.357687,0.009401,0.026862,-0.437119,0.007326,-0.318369,-0.102693,0.323320,-0.318245,-0.109720,0.320000,0.334521,0.465231,0.018188
38.3911,3.04720,25.12,MID,1.315669,-0.247618,1.478177,0.076923,0.296703,0.208790,1.333154,-0.265805,1.478519,0.349710,-0.363750,0.006843,0.031746,-0.417583,-0.017094,-0.318111,-0.103619,0.323400,-0.318031,-0.110491,0.320000,0.334561,0.465316,0.018188
38.4014,3.04800,25.13,MID,1.317576,-0.247999,1.478177,-0.230770,-0.318680,0.142857,1.335133,-0.266098,1.478405,0.351126,-0.361973,0.004571,-0.026862,-0.398046,-0.012210,-0.317958,-0.104301,0.323376,-0.317816,-0.111262,0.320000,0.334628,0.465347,0.018099
38.4116,3.04880,25.13,MID,1.320628,-0.247999,1.478177,0.362637,-0.120880,0.032967,1.337121,-0.266380,1.478306,0.329865,-0.367616,0.002587,-0.046398,-0.334555,-0.012210,-0.317657,-0.105368,0.323465,-0.317602,-0.112032,0.320000,0.334676,0.465444,0.018381
38.4216,3.04960,25.14,MID,1.322917,-0.247999,1.477795,0.252747,-0.164837,-0.032967,1.339084,-0.266661,1.478193,0.323339,-0.373230,0.007948,-0.026862,-0.471307,0.021978,-0.317323,-0.106328,0.323571,-0.317384,-0.112802,0.320000,0.334664,0.465508,0.018661
38.4315,3.05040,25.14,MID,1.325206,-0.248381,1.477795,0.362637,0.054947,-0.098900,1.341018,-0.266941,1.478063,0.316246,-0.371197,0.005356,-0.007326,-0.310134,0.002442,-0.317126,-0.107154,0.323554,-0.317163,-0.113571,0.320000,0.334740,0.465551,0.018560
38.4418,3.05120,25.15,MID,1.327113,-0.248381,1.477795,0.164837,0.406593,0.076923,1.342963,-0.267210,1.477948,0.316996,-0.376584,0.003053,-0.007326,-0.310134,0.012210,-0.316931,-0.107829,0.323607,-0.316941,-0.114340,0.320000,0.334772,0.465611,0.018829
38.4517,3.05200,25.16,MID,1.329402,-0.248381,1.477414,0.032967,-0.120880,0.076923,1.344918,-0.267469,1.477847,0.310328,-0.381761,0.008669,-0.002442,-0.402930,-0.007326,-0.316590,-0.108799,0.323708,-0.316720,-0.115109,0.320000,0.334764,0.465675,0.019088
38.4618,3.05280,25.16,MID,1.331309,-0.248762,1.477414,0.054947,0.054947,0.054947,1.346847,-0.267726,1.477732,0.310758,-0.379284,0.006361,0.026862,-0.373627,0.026862,-0.316426,-0.109498,0.323678,-0.316496,-0.115876,0.320000,0.334836,0.465706,0.018964
