t,s_m,pct,plane,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,lag_rad
0.1880,0.01520,0.13,APPROACH,0.382198,0.497785,0.423398,-0.450550,0.428570,-0.406593,0.370030,0.511957,0.434376,-0.243359,0.283427,0.219568,0.046398,0.061050,-0.012210,0.016271,0.019563,0.426698,0.017049,0.025713,0.427068,0.025445,0.427456,0.014171
0.1979,0.01600,0.13,APPROACH,0.380672,0.499693,0.424924,0.296703,0.098900,-0.120880,0.368166,0.513155,0.435905,-0.250121,0.269244,0.219623,0.017094,0.056166,0.021978,0.016365,0.020370,0.426764,0.016985,0.026510,0.427068,0.026129,0.427563,0.013462
0.2081,0.01680,0.14,APPROACH,0.379146,0.501219,0.426068,-0.164837,0.340660,-0.186813,0.366311,0.514363,0.437443,-0.256707,0.262886,0.227502,0.021978,0.090354,0.002442,0.016456,0.021080,0.426789,0.016920,0.027308,0.427068,0.026743,0.427626,0.013144
0.2180,0.01760,0.15,APPROACH,0.377621,0.502363,0.427594,-0.076923,0.164837,0.494507,0.364465,0.515581,0.438991,-0.263115,0.264353,0.227944,-0.021978,0.070818,0.041514,0.016381,0.021789,0.426820,0.016856,0.028105,0.427068,0.027260,0.427690,0.013218
0.2282,0.01840,0.15,APPROACH,0.375713,0.503507,0.429120,-0.054947,0.076923,0.208790,0.362627,0.516808,0.440549,-0.261716,0.266014,0.228580,-0.056166,0.095238,-0.017094,0.016306,0.022591,0.426823,0.016792,0.028903,0.427068,0.027861,0.427731,0.013301
0.2366,0.01920,0.16,APPROACH,0.374187,0.504270,0.430646,-0.120880,-0.340660,0.252747,0.360799,0.518045,0.442116,-0.267768,0.275501,0.229409,-0.056166,0.114774,0.007326,0.016145,0.023251,0.426835,0.016728,0.029700,0.427068,0.028307,0.427773,0.013775
0.2466,0.02000,0.16,APPROACH,0.373424,0.505033,0.432172,0.186813,0.274727,0.186813,0.358979,0.519293,0.443693,-0.288901,0.285183,0.230432,-0.080586,0.168498,-0.002442,0.015985,0.023725,0.426902,0.016664,0.030497,0.427068,0.028608,0.427860,0.014445
0.2568,0.02080,0.17,APPROACH,0.371899,0.505415,0.433698,-0.318680,0.010990,0.230770,0.357169,0.520549,0.445280,-0.294597,0.302690,0.231649,-0.070818,0.183150,0.017094,0.015739,0.024336,0.426897,0.016600,0.031295,0.427068,0.028982,0.427879,0.015134
0.2667,0.02160,0.18,APPROACH,0.370373,0.506178,0.435223,-0.186813,0.054947,0.230770,0.355367,0.521816,0.446876,-0.300114,0.312762,0.233059,-0.163614,0.202686,-0.017094,0.015579,0.024995,0.426906,0.016535,0.032092,0.427068,0.029452,0.427921,0.015638
0.2774,0.02240,0.18,APPROACH,0.369228,0.506559,0.436749,-0.274727,0.296703,0.252747,0.353574,0.523092,0.448482,-0.313082,0.330660,0.234662,-0.124542,0.212454,-0.012210,0.015333,0.025513,0.426927,0.016471,0.032890,0.427068,0.029766,0.427963,0.016533
0.2878,0.02320,0.19,APPROACH,0.367702,0.506941,0.438275,-0.230770,0.032967,0.252747,0.351790,0.524378,0.450098,-0.318241,0.348753,0.236459,-0.139194,0.231990,0.021978,0.015087,0.026123,0.426918,0.016407,0.033687,0.427068,0.030166,0.427983,0.017438
0.2976,0.02400,0.20,APPROACH,0.366176,0.507704,0.440564,-0.120880,0.054947,0.296703,0.350015,0.525674,0.451724,-0.323221,0.359411,0.223191,-0.266178,0.227106,-0.046398,0.014760,0.026877,0.426968,0.016343,0.034484,0.427068,0.030663,0.428068,0.017971
0.3081,0.02480,0.20,APPROACH,0.365032,0.508467,0.441708,-0.076923,0.230770,0.384617,0.348250,0.526980,0.453359,-0.335651,0.370266,0.233004,-0.085470,0.241758,-0.046398,0.014681,0.027396,0.426980,0.016279,0.035282,0.427068,0.031082,0.428109,0.018513
0.3178,0.02560,0.21,APPROACH,0.363506,0.508848,0.443234,0.098900,-0.142857,-0.164837,0.346493,0.528295,0.455003,-0.340271,0.388945,0.235382,-0.207570,0.241758,-0.026862,0.014435,0.028006,0.426968,0.016214,0.036079,0.427068,0.031507,0.428129,0.019447
0.3283,0.02640,0.22,APPROACH,0.361980,0.509611,0.445142,0.230770,-0.098900,-0.032967,0.344745,0.529621,0.456658,-0.344711,0.400191,0.230323,-0.085470,0.266178,-0.021978,0.014190,0.028712,0.426992,0.016150,0.036877,0.427068,0.032027,0.428192,0.020010
