t,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,yaw,ls_y,rs_x,rs_y,lag_rad,frozen,f_press_N
0.0052,0.385631,0.467648,0.450482,0.142857,-0.230770,0.186813,0.385631,0.467648,0.450482,0.000000,0.000000,0.000000,0.002442,-0.007326,0.002442,0.003754,0.018279,0.427095,0.003754,0.018279,0.427095,0.018661,0.427503,-2.132016,0.000,0.000,-0.000,0.000000,0,0.000
0.0149,0.385631,0.467648,0.450482,0.230770,0.076923,0.252747,0.385631,0.467648,0.450483,-0.000004,-0.000013,0.000016,-0.002442,-0.012210,-0.002442,0.003754,0.018279,0.427095,0.003754,0.018279,0.427095,0.018661,0.427503,-2.132034,0.000,0.000,-0.000,0.000000,0,0.000
0.0271,0.385631,0.467648,0.450482,0.208790,0.054947,-0.032967,0.385631,0.467647,0.450484,-0.000006,-0.000021,0.000027,-0.031746,0.002442,0.026862,0.003754,0.018279,0.427095,0.003753,0.018279,0.427095,0.018661,0.427503,-2.132046,0.000,0.000,-0.000,0.000001,0,0.000
0.0375,0.385250,0.468030,0.450101,0.032967,0.032967,-0.032967,0.385576,0.467631,0.450429,0.006525,-0.007987,0.006573,-0.002442,-0.041514,0.007326,0.003921,0.018373,0.427067,0.003753,0.018279,0.427095,0.018787,0.427480,-2.132051,0.000,0.000,-0.000,0.000383,0,0.000
0.0481,0.385250,0.467648,0.450482,-0.340660,-0.142857,0.428570,0.385576,0.467611,0.450449,0.006521,-0.000741,-0.000670,-0.017094,-0.012210,-0.021978,0.003754,0.018373,0.427069,0.003753,0.018279,0.427095,0.018752,0.427480,-2.132059,0.000,0.000,-0.000,0.000326,0,0.000
0.0582,0.385250,0.467648,0.450482,-0.010990,0.164837,0.318680,0.385576,0.467612,0.450448,0.006522,-0.000737,-0.000675,-0.012210,-0.007326,-0.021978,0.003754,0.018373,0.427069,0.003753,0.018279,0.427095,0.018752,0.427480,-2.132054,0.000,0.000,-0.000,0.000326,0,0.000
0.0676,0.385250,0.467648,0.450101,-0.032967,0.032967,-0.296703,0.385541,0.467576,0.450394,0.005813,-0.001457,0.005855,-0.002442,-0.012210,-0.017094,0.003837,0.018325,0.427048,0.003753,0.018279,0.427095,0.018722,0.427458,-2.132054,0.000,0.000,-0.000,0.000348,0,0.000
0.0777,0.385250,0.468030,0.450482,0.384617,0.340660,0.208790,0.385612,0.467667,0.450484,0.007234,-0.007264,0.000039,0.002442,-0.031746,-0.017094,0.003838,0.018421,0.427088,0.003753,0.018279,0.427095,0.018817,0.427502,-2.132047,0.000,0.000,-0.000,0.000454,0,0.000
0.0870,0.385250,0.468030,0.450482,0.054947,0.054947,-0.010990,0.385612,0.467667,0.450484,0.007235,-0.007260,0.000035,-0.017094,-0.012210,-0.017094,0.003838,0.018421,0.427088,0.003754,0.018279,0.427095,0.018817,0.427502,-2.132043,0.000,0.000,-0.000,0.000363,0,0.000
0.0983,0.385250,0.468030,0.450482,0.164837,0.098900,0.098900,0.385612,0.467667,0.450484,0.007234,-0.007264,0.000040,-0.017094,-0.021978,-0.021978,0.003838,0.018421,0.427088,0.003753,0.018279,0.427095,0.018817,0.427502,-2.132047,0.000,0.000,-0.000,0.000363,0,0.000
0.1075,0.385250,0.468030,0.450482,-0.054947,-0.032967,0.164837,0.385612,0.467667,0.450484,0.007234,-0.007266,0.000043,0.007326,-0.080586,0.017094,0.003838,0.018421,0.427088,0.003753,0.018279,0.427095,0.018817,0.427502,-2.132051,0.000,0.000,-0.000,0.000363,0,0.000
0.1189,0.385250,0.468411,0.450482,-0.120880,0.252747,0.032967,0.385647,0.467721,0.450521,0.007941,-0.013809,0.000778,-0.036630,-0.012210,-0.007326,0.003921,0.018469,0.427107,0.003753,0.018280,0.427095,0.018881,0.427524,-2.132068,0.000,0.000,-0.000,0.000745,0,0.000
