wall_time_s,wall_bj,q0,q1,q2,qd0,qd1,qd2,tau_meas0,tau_meas1,tau_meas2,tau_cmd0,tau_cmd1,tau_cmd2,q_des0,q_des1,q_des2,pwm0,pwm1,pwm2,pwm3,pwm4,pwm5,control_mode,roll,pitch,yaw,gyro0,gyro1,gyro2,acc0,acc1,acc2,rm_q0,rm_q1,rm_q2,rm_iq0,rm_iq1,rm_iq2,wheel_en,wheel_w0,wheel_w1,wheel_w2
1787513445.0015204,2026-08-24 03:30:45.001,0.936482310295105,0.8987158536911011,0.8357723951339722,0.14285659790039062,0.27472686767578125,-0.120880126953125,-0.0024423599243164062,0.0073261260986328125,-0.0024423599243164062,-2.435314893722534,-2.703155994415283,-2.5699775218963623,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.04174238070845604,-0.014605273492634296,-1.8231953382492065,-0.15058490633964539,-0.11261167377233505,-0.044219665229320526,-0.20645131170749664,0.2747381925582886,-9.49299430847168,-6.389617919921875e-05,0.2262401580810547,-0.2102184295654297,0.006000000052154064,0.012000000104308128,0.07199999690055847,0,0.0,0.0,0.0
1787513445.006139,2026-08-24 03:30:45.006,0.936482310295105,0.9002417325973511,0.8357723951339722,0.16483688354492188,0.3846168518066406,0.120880126953125,-0.0024423599243164062,0.0024423599243164062,0.0024423599243164062,-2.436131238937378,-2.705566167831421,-2.5811402797698975,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.0421212837100029,-0.01489131711423397,-1.8233022689819336,-0.14892451465129852,-0.11279433965682983,-0.043933525681495667,-0.26246076822280884,0.25441214442253113,-9.468587875366211,-6.389617919921875e-05,0.2262401580810547,-0.2102184295654297,0.006000000052154064,0.012000000104308128,0.07199999690055847,0,0.0,0.0,0.0
1787513445.0107508,2026-08-24 03:30:45.010,0.936482310295105,0.9021490812301636,0.8357723951339722,-0.4945068359375,0.4505500793457031,-0.0549468994140625,-0.0024423599243164062,-0.0024423599243164062,-0.0024423599243164062,-2.4346251487731934,-2.7139840126037598,-2.5846972465515137,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.04326166585087776,-0.015712620690464973,-1.8236147165298462,-0.15055450797080994,-0.10433188825845718,-0.042183637619018555,-0.3182995021343231,0.25437504053115845,-9.402045249938965,-6.389617919921875e-05,0.2262401580810547,-0.2102184295654297,0.006000000052154064,0.012000000104308128,0.07199999690055847,0,0.0,0.0,0.0
1787513445.0166874,2026-08-24 03:30:45.016,0.936482310295105,0.9040564298629761,0.8357723951339722,-0.03296661376953125,0.3846168518066406,0.20878982543945312,0.0024423599243164062,0.0024423599243164062,-0.0024423599243164062,-2.433166980743408,-2.7283880710601807,-2.5936038494110107,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.04365180432796478,-0.015978870913386345,-1.823722004890442,-0.150645911693573,-0.10290943831205368,-0.04298925772309303,-0.296053022146225,0.26433902978897095,-9.394454956054688,-4.291534423828125e-05,0.2262401580810547,-0.2102184295654297,-0.0010000000474974513,0.009999999776482582,-0.09200000017881393,0,0.0,0.0,0.0
1787513445.0215743,2026-08-24 03:30:45.021,0.936482310295105,0.9055823087692261,0.8357723951339722,0.07692337036132812,0.3626365661621094,0.23077011108398438,0.0024423599243164062,0.0073261260986328125,0.0024423599243164062,-2.43501353263855,-2.7283008098602295,-2.5965325832366943,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.044797804206609726,-0.016756214201450348,-1.824043869972229,-0.1512465924024582,-0.10178189724683762,-0.04331604018807411,-0.24454431235790253,0.3056299686431885,-9.412304878234863,-4.291534423828125e-05,0.2262401580810547,-0.2102184295654297,-0.0010000000474974513,0.009999999776482582,-0.09200000017881393,0,0.0,0.0,0.0
1787513445.026491,2026-08-24 03:30:45.026,0.9368637800216675,0.9059637784957886,0.8357723951339722,0.1868133544921875,0.0549468994140625,0.010990142822265625,-0.0024423599243164062,0.0024423599243164062,0.0024423599243164062,-2.4144034385681152,-2.7312681674957275,-2.621809959411621,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.04556287080049515,-0.017276233062148094,-1.824242115020752,-0.1506171077489853,-0.1025238186120987,-0.03993521258234978,-0.21928070485591888,0.3042502999305725,-9.425355911254883,-6.389617919921875e-05,0.22621917724609375,-0.2102184295654297,-0.006000000052154064,-0.007000000216066837,-0.013000000268220901,0,0.0,0.0,0.0
1787513445.0315142,2026-08-24 03:30:45.031,0.9368637800216675,0.9071081876754761,0.8357723951339722,0.25274658203125,0.03296661376953125,-0.03296661376953125,-0.0024423599243164062,0.0024423599243164062,0.0073261260986328125,-2.4122767448425293,-2.730212926864624,-2.6286685466766357,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.046337977051734924,-0.01779893971979618,-1.8244351148605347,-0.15058645606040955,-0.10172963887453079,-0.03896132856607437,-0.23736156523227692,0.3814530670642853,-9.367423057556152,-4.291534423828125e-05,0.22621917724609375,-0.2102184295654297,-0.07199999690055847,-0.017999999225139618,0.019999999552965164,0,0.0,0.0,0.0
1787513445.036784,2026-08-24 03:30:45.036,0.936482310295105,0.9074896574020386,0.8353909254074097,-0.120880126953125,0.3846168518066406,-0.14285659790039062,-0.0024423599243164062,-0.0024423599243164062,0.0024423599243164062,-2.4196791648864746,-2.7191827297210693,-2.636068820953369,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.04708048701286316,-0.018292995169758797,-1.8246232271194458,-0.1463460624217987,-0.09691344201564789,-0.039361461997032166,-0.2648710608482361,0.4617096781730652,-9.365178108215332,-4.291534423828125e-05,0.22621917724609375,-0.2102184295654297,-0.07199999690055847,-0.017999999225139618,0.019999999552965164,0,0.0,0.0,0.0
1787513445.0409794,2026-08-24 03:30:45.040,0.9368637800216675,0.9090155363082886,0.8357723951339722,0.25274658203125,0.3626365661621094,0.09889984130859375,-0.0024423599243164062,0.0024423599243164062,0.012209892272949219,-2.4065654277801514,-2.7299578189849854,-2.629748821258545,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.04744681715965271,-0.01853209361433983,-1.8247219324111938,-0.14404430985450745,-0.09394233673810959,-0.040235668420791626,-0.2670120596885681,0.4765249788761139,-9.397244453430176,-4.291534423828125e-05,0.22621917724609375,-0.2102184295654297,-0.07199999690055847,-0.017999999225139618,0.019999999552965164,0,0.0,0.0,0.0
1787513445.0463746,2026-08-24 03:30:45.046,0.936482310295105,0.9097784757614136,0.8353909254074097,-0.010990142822265625,0.27472686767578125,-0.20878982543945312,-0.0024423599243164062,0.0024423599243164062,0.0073261260986328125,-2.3934922218322754,-2.7385857105255127,-2.6422922611236572,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,-0.048507869243621826,-0.01921924017369747,-1.8250020742416382,-0.13685229420661926,-0.0891968384385109,-0.03725152835249901,-0.35989418625831604,0.4951310157775879,-9.48298454284668,-4.291534423828125e-05,0.22621917724609375,-0.2102184295654297,-0.0010000000474974513,0.035999998450279236,-0.01899999938905239,0,0.0,0.0,0.0
